2021-03-27 14:02:58.740 [main] INFO  f.c.meething_system.MeethingSystemApplication - Starting MeethingSystemApplication using Java 1.8.0_211 on sarisedeMacBook-Pro.local with PID 53943 (/Users/sarisemac/Downloads/softWareHomeWork/meething-system-team7/meething_system/target/classes started by sarisemac in /Users/sarisemac/Downloads/softWareHomeWork/meething-system-team7/meething_system)
2021-03-27 14:02:58.742 [main] INFO  f.c.meething_system.MeethingSystemApplication - The following profiles are active: test
2021-03-27 14:02:59.225 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2021-03-27 14:02:59.233 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 JDBC repository interfaces.
2021-03-27 14:02:59.579 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2021-03-27 14:02:59.585 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2021-03-27 14:02:59.586 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-03-27 14:02:59.586 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.44]
2021-03-27 14:02:59.755 [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2021-03-27 14:02:59.757 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-03-27 14:02:59.757 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 985 ms
2021-03-27 14:02:59.989 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-27 14:03:00.514 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-03-27 14:03:03.724 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-03-27 14:03:03.727 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-03-27 14:03:27.051 [main] INFO  f.c.meething_system.MeethingSystemApplication - Starting MeethingSystemApplication using Java 1.8.0_211 on sarisedeMacBook-Pro.local with PID 53955 (/Users/sarisemac/Downloads/softWareHomeWork/meething-system-team7/meething_system/target/classes started by sarisemac in /Users/sarisemac/Downloads/softWareHomeWork/meething-system-team7/meething_system)
2021-03-27 14:03:27.053 [main] INFO  f.c.meething_system.MeethingSystemApplication - The following profiles are active: test
2021-03-27 14:03:27.583 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2021-03-27 14:03:27.601 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 JDBC repository interfaces.
2021-03-27 14:03:28.087 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2021-03-27 14:03:28.101 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2021-03-27 14:03:28.101 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-03-27 14:03:28.102 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.44]
2021-03-27 14:03:28.319 [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2021-03-27 14:03:28.321 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-03-27 14:03:28.322 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1235 ms
2021-03-27 14:03:28.518 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-27 14:03:29.075 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-03-27 14:03:34.449 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-03-27 14:03:34.504 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2021-03-27 14:03:34.538 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2021-03-27 14:03:34.557 [main] INFO  f.c.meething_system.MeethingSystemApplication - Started MeethingSystemApplication in 7.876 seconds (JVM running for 8.386)
2021-03-27 14:11:43.884 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2021-03-27 14:11:43.895 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2021-03-27 14:11:43.896 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
